Type,Operation,String_expresion,CIR_regularizado,Explicit,String
DATE,DATE,the nine of the 11,<pad>11<pad>09<pad><pad><pad><pad><pad>,explicit,<date the nine of the 11 <pad>11<pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,end of september,<pad>09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of september <pad>09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 1929,1929 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 1929 1929 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 30th of the 4th,<pad>04<pad>30<pad><pad><pad><pad><pad>,explicit,<date the 30th of the 4th <pad>04<pad>30<pad><pad><pad><pad><pad>>
DATE,DATE,in September 2028,2028 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2028 2028 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,June 1st,<pad>06<pad>01<pad><pad><pad><pad><pad>,explicit,<date June 1st <pad>06<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,1983/1/3,1983 01<pad>03<pad><pad><pad><pad><pad>,explicit,<date 1983/1/3 1983 01<pad>03<pad><pad><pad><pad><pad>>
DATE,DATE,On the fifteenth,<pad><pad><pad>15<pad><pad><pad><pad><pad>,explicit,<date On the fifteenth <pad><pad><pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,On the 6th,<pad><pad><pad>06<pad><pad><pad><pad><pad>,explicit,<date On the 6th <pad><pad><pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,in February 1970,1970 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1970 1970 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-fourth week of 1995,1995<pad>34<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-fourth week of 1995 1995<pad>34<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-eighth week of 1919,1919<pad>48<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-eighth week of 1919 1919<pad>48<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-first week of 2070,2070<pad>21<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-first week of 2070 2070<pad>21<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 2055,2055 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 2055 2055 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of july,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of july <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1956,1956 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1956 1956 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in September 2050,2050 09<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in September 2050 2050 09<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifth of the 2nd of one thousand nine hundred and twenty-five,1925 02<pad>05<pad><pad><pad><pad><pad>,explicit,<date the fifth of the 2nd of one thousand nine hundred and twenty-five 1925 02<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,August 1,<pad>08<pad>01<pad><pad><pad><pad><pad>,explicit,<date August 1 <pad>08<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,in January 2021,2021 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 2021 2021 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in March 2033,2033 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2033 2033 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1958,1958<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1958 1958<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"August 7, two thousand and forty",2040 08<pad>07<pad><pad><pad><pad><pad>,explicit,"<date August 7, two thousand and forty 2040 08<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,the thirtieth week of 2032,2032<pad>30<pad><pad><pad><pad><pad><pad>,explicit,<date the thirtieth week of 2032 2032<pad>30<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2052/9/20,2052 09<pad>20<pad><pad><pad><pad><pad>,explicit,<date 2052/9/20 2052 09<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,"September 7, 2032",2032 09<pad>07<pad><pad><pad><pad><pad>,explicit,"<date September 7, 2032 2032 09<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,the fourteenth week of 2045,2045<pad>14<pad><pad><pad><pad><pad><pad>,explicit,<date the fourteenth week of 2045 2045<pad>14<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in May 2074,2074 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 2074 2074 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eleven of the 9th,<pad>09<pad>11<pad><pad><pad><pad><pad>,explicit,<date the eleven of the 9th <pad>09<pad>11<pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the nineteenth week of 2014,2014<pad>19<pad><pad><pad><pad><pad><pad>,explicit,<date the nineteenth week of 2014 2014<pad>19<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on the twenty-fifth of March, two thousand and sixty-nine",2069 03<pad>25<pad><pad><pad><pad><pad>,explicit,"<date on the twenty-fifth of March, two thousand and sixty-nine 2069 03<pad>25<pad><pad><pad><pad><pad>>"
DATE,DATE,2079,2079<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2079 2079<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-sixth week of 1962,1962<pad>26<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-sixth week of 1962 1962<pad>26<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-eighth week of 2002,2002<pad>38<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-eighth week of 2002 2002<pad>38<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August twenty-first,<pad>08<pad>21<pad><pad><pad><pad><pad>,explicit,<date August twenty-first <pad>08<pad>21<pad><pad><pad><pad><pad>>
DATE,DATE,the fifth of the 2nd of one thousand nine hundred and seventy-six,1976 02<pad>05<pad><pad><pad><pad><pad>,explicit,<date the fifth of the 2nd of one thousand nine hundred and seventy-six 1976 02<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the 16th of the 12th,<pad>12<pad>16<pad><pad><pad><pad><pad>,explicit,<date the 16th of the 12th <pad>12<pad>16<pad><pad><pad><pad><pad>>
DATE,DATE,"June 26, 1945",1945 06<pad>26<pad><pad><pad><pad><pad>,explicit,"<date June 26, 1945 1945 06<pad>26<pad><pad><pad><pad><pad>>"
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,November 25,<pad>11<pad>25<pad><pad><pad><pad><pad>,explicit,<date November 25 <pad>11<pad>25<pad><pad><pad><pad><pad>>
DATE,DATE,in July 2075,2075 07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in July 2075 2075 07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2026/7/22,2026 07<pad>22<pad><pad><pad><pad><pad>,explicit,<date 2026/7/22 2026 07<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-sixth week of 2053,2053<pad>36<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-sixth week of 2053 2053<pad>36<pad><pad><pad><pad><pad><pad>>
DATE,DATE,early 1923,1923<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1923 1923<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1966,1966 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1966 1966 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 1965,1965 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1965 1965 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-eighth week of 2097,2097<pad>38<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-eighth week of 2097 2097<pad>38<pad><pad><pad><pad><pad><pad>>
DATE,DATE,12/15/2071,2071 12<pad>15<pad><pad><pad><pad><pad>,explicit,<date 12/15/2071 2071 12<pad>15<pad><pad><pad><pad><pad>>
DATE,DATE,December 8th,<pad>12<pad>08<pad><pad><pad><pad><pad>,explicit,<date December 8th <pad>12<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,November 5,<pad>11<pad>05<pad><pad><pad><pad><pad>,explicit,<date November 5 <pad>11<pad>05<pad><pad><pad><pad><pad>>
DATE,DATE,the 27th of the 6th,<pad>06<pad>27<pad><pad><pad><pad><pad>,explicit,<date the 27th of the 6th <pad>06<pad>27<pad><pad><pad><pad><pad>>
DATE,DATE,in November 1952,1952 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1952 1952 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-seventh week of 2043,2043<pad>27<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-seventh week of 2043 2043<pad>27<pad><pad><pad><pad><pad><pad>>
DATE,DATE,July,<pad>07<pad><pad><pad><pad><pad><pad><pad>,explicit,<date July <pad>07<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-first week of 2099,2099<pad>21<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-first week of 2099 2099<pad>21<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 9th,<pad><pad><pad>09<pad><pad><pad><pad><pad>,explicit,<date On the 9th <pad><pad><pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,in January 1918,1918 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1918 1918 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,early june,<pad>06<pad><pad><pad><pad><pad><pad><pad>,explicit,<date early june <pad>06<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1930/9/19,1930 09<pad>19<pad><pad><pad><pad><pad>,explicit,<date 1930/9/19 1930 09<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-first week of 2059,2059<pad>31<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-first week of 2059 2059<pad>31<pad><pad><pad><pad><pad><pad>>
DATE,DATE,1917,1917<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1917 1917<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1953,1953<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1953 1953<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fifth week of 1969,1969<pad>25<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-fifth week of 1969 1969<pad>25<pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 6th,<pad><pad><pad>06<pad><pad><pad><pad><pad>,explicit,<date On the 6th <pad><pad><pad>06<pad><pad><pad><pad><pad>>
DATE,DATE,the first week of 1950,1950<pad>01<pad><pad><pad><pad><pad><pad>,explicit,<date the first week of 1950 1950<pad>01<pad><pad><pad><pad><pad><pad>>
DATE,DATE,December seventeenth,<pad>12<pad>17<pad><pad><pad><pad><pad>,explicit,<date December seventeenth <pad>12<pad>17<pad><pad><pad><pad><pad>>
DATE,DATE,March 20th,<pad>03<pad>20<pad><pad><pad><pad><pad>,explicit,<date March 20th <pad>03<pad>20<pad><pad><pad><pad><pad>>
DATE,DATE,in April 2069,2069 04<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in April 2069 2069 04<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in November 2091,2091 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 2091 2091 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2063/9/1,2063 09<pad>01<pad><pad><pad><pad><pad>,explicit,<date 2063/9/1 2063 09<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,on May 23,<pad>05<pad>23<pad><pad><pad><pad><pad>,explicit,<date on May 23 <pad>05<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,the nineteenth of the 1st,<pad>01<pad>19<pad><pad><pad><pad><pad>,explicit,<date the nineteenth of the 1st <pad>01<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,On the ninth,<pad><pad><pad>09<pad><pad><pad><pad><pad>,explicit,<date On the ninth <pad><pad><pad>09<pad><pad><pad><pad><pad>>
DATE,DATE,1900,1900<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1900 1900<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1946,1946 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1946 1946 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,October,<pad>10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date October <pad>10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 14th,<pad><pad><pad>14<pad><pad><pad><pad><pad>,explicit,<date On the 14th <pad><pad><pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,early 1928,1928<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date early 1928 1928<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"on June twenty-ninth, two thousand ninety-two",2092 06<pad>29<pad><pad><pad><pad><pad>,explicit,"<date on June twenty-ninth, two thousand ninety-two 2092 06<pad>29<pad><pad><pad><pad><pad>>"
DATE,DATE,the thirty-seventh week of 2016,2016<pad>37<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-seventh week of 2016 2016<pad>37<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2018,2018<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 2018 2018<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1987,1987<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1987 1987<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,On the 14th,<pad><pad><pad>14<pad><pad><pad><pad><pad>,explicit,<date On the 14th <pad><pad><pad>14<pad><pad><pad><pad><pad>>
DATE,DATE,"on November twenty-first, two thousand ninety-nine",2099 11<pad>21<pad><pad><pad><pad><pad>,explicit,"<date on November twenty-first, two thousand ninety-nine 2099 11<pad>21<pad><pad><pad><pad><pad>>"
DATE,DATE,in February 1926,1926 02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in February 1926 1926 02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1979/6/23,1979 06<pad>23<pad><pad><pad><pad><pad>,explicit,<date 1979/6/23 1979 06<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,1958/1/22,1958 01<pad>22<pad><pad><pad><pad><pad>,explicit,<date 1958/1/22 1958 01<pad>22<pad><pad><pad><pad><pad>>
DATE,DATE,the twentieth week of 2054,2054<pad>20<pad><pad><pad><pad><pad><pad>,explicit,<date the twentieth week of 2054 2054<pad>20<pad><pad><pad><pad><pad><pad>>
DATE,DATE,2054/1/23,2054 01<pad>23<pad><pad><pad><pad><pad>,explicit,<date 2054/1/23 2054 01<pad>23<pad><pad><pad><pad><pad>>
DATE,DATE,1911,1911<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date 1911 1911<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fifty-second week of 1960,1960<pad>52<pad><pad><pad><pad><pad><pad>,explicit,<date the fifty-second week of 1960 1960<pad>52<pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of 2072,2072<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of 2072 2072<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the eighth week of 2025,2025<pad>08<pad><pad><pad><pad><pad><pad>,explicit,<date the eighth week of 2025 2025<pad>08<pad><pad><pad><pad><pad><pad>>
DATE,DATE,"September 15, 2061",2061 09<pad>15<pad><pad><pad><pad><pad>,explicit,"<date September 15, 2061 2061 09<pad>15<pad><pad><pad><pad><pad>>"
DATE,DATE,On March 1,<pad>03<pad>01<pad><pad><pad><pad><pad>,explicit,<date On March 1 <pad>03<pad>01<pad><pad><pad><pad><pad>>
DATE,DATE,2075/9/28,2075 09<pad>28<pad><pad><pad><pad><pad>,explicit,<date 2075/9/28 2075 09<pad>28<pad><pad><pad><pad><pad>>
DATE,DATE,beginnings of November,<pad>11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginnings of November <pad>11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 18th of the 7th,<pad>07<pad>18<pad><pad><pad><pad><pad>,explicit,<date the 18th of the 7th <pad>07<pad>18<pad><pad><pad><pad><pad>>
DATE,DATE,the fifty-second week of 2081,2081<pad>52<pad><pad><pad><pad><pad><pad>,explicit,<date the fifty-second week of 2081 2081<pad>52<pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of May,<pad>05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of May <pad>05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1910/12/10,1910 12<pad>10<pad><pad><pad><pad><pad>,explicit,<date 1910/12/10 1910 12<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,On the nineteenth,<pad><pad><pad>19<pad><pad><pad><pad><pad>,explicit,<date On the nineteenth <pad><pad><pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,1975/2/2,1975 02<pad>02<pad><pad><pad><pad><pad>,explicit,<date 1975/2/2 1975 02<pad>02<pad><pad><pad><pad><pad>>
DATE,DATE,in March 2085,2085 03<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in March 2085 2085 03<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,March tenth,<pad>03<pad>10<pad><pad><pad><pad><pad>,explicit,<date March tenth <pad>03<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,the fourth week of 1953,1953<pad>04<pad><pad><pad><pad><pad><pad>,explicit,<date the fourth week of 1953 1953<pad>04<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in August 1916,1916 08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in August 1916 1916 08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,end of February,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date end of February <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-second week of 1941,1941<pad>42<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-second week of 1941 1941<pad>42<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the seventh of may,<pad>05<pad>07<pad><pad><pad><pad><pad>,explicit,<date the seventh of may <pad>05<pad>07<pad><pad><pad><pad><pad>>
DATE,DATE,the ninth week of 1906,1906<pad>09<pad><pad><pad><pad><pad><pad>,explicit,<date the ninth week of 1906 1906<pad>09<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-sixth week of 1946,1946<pad>46<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-sixth week of 1946 1946<pad>46<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1992,1992 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1992 1992 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,late 1962,1962<pad><pad><pad><pad><pad><pad><pad><pad>,explicit,<date late 1962 1962<pad><pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the 10th of January,<pad>01<pad>10<pad><pad><pad><pad><pad>,explicit,<date the 10th of January <pad>01<pad>10<pad><pad><pad><pad><pad>>
DATE,DATE,on March 24,<pad>03<pad>24<pad><pad><pad><pad><pad>,explicit,<date on March 24 <pad>03<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,the first week of 1999,1999<pad>01<pad><pad><pad><pad><pad><pad>,explicit,<date the first week of 1999 1999<pad>01<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in October 1961,1961 10<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in October 1961 1961 10<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,"August 27, 1953",1953 08<pad>27<pad><pad><pad><pad><pad>,explicit,"<date August 27, 1953 1953 08<pad>27<pad><pad><pad><pad><pad>>"
DATE,DATE,in May 1982,1982 05<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in May 1982 1982 05<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fiftieth week of 1937,1937<pad>50<pad><pad><pad><pad><pad><pad>,explicit,<date the fiftieth week of 1937 1937<pad>50<pad><pad><pad><pad><pad><pad>>
DATE,DATE,beginning of february,<pad>02<pad><pad><pad><pad><pad><pad><pad>,explicit,<date beginning of february <pad>02<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the forty-fifth week of 2064,2064<pad>45<pad><pad><pad><pad><pad><pad>,explicit,<date the forty-fifth week of 2064 2064<pad>45<pad><pad><pad><pad><pad><pad>>
DATE,DATE,April 19th,<pad>04<pad>19<pad><pad><pad><pad><pad>,explicit,<date April 19th <pad>04<pad>19<pad><pad><pad><pad><pad>>
DATE,DATE,in November 1943,1943 11<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in November 1943 1943 11<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the fortieth week of 1936,1936<pad>40<pad><pad><pad><pad><pad><pad>,explicit,<date the fortieth week of 1936 1936<pad>40<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August 24th,<pad>08<pad>24<pad><pad><pad><pad><pad>,explicit,<date August 24th <pad>08<pad>24<pad><pad><pad><pad><pad>>
DATE,DATE,2039/6/30,2039 06<pad>30<pad><pad><pad><pad><pad>,explicit,<date 2039/6/30 2039 06<pad>30<pad><pad><pad><pad><pad>>
DATE,DATE,On day 4,<pad><pad><pad>04<pad><pad><pad><pad><pad>,explicit,<date On day 4 <pad><pad><pad>04<pad><pad><pad><pad><pad>>
DATE,DATE,"on the seventh of May, two thousand and seventy-four",2074 05<pad>07<pad><pad><pad><pad><pad>,explicit,"<date on the seventh of May, two thousand and seventy-four 2074 05<pad>07<pad><pad><pad><pad><pad>>"
DATE,DATE,the sixteenth week of 1946,1946<pad>16<pad><pad><pad><pad><pad><pad>,explicit,<date the sixteenth week of 1946 1946<pad>16<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-first week of 2022,2022<pad>21<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-first week of 2022 2022<pad>21<pad><pad><pad><pad><pad><pad>>
DATE,DATE,August,<pad>08<pad><pad><pad><pad><pad><pad><pad>,explicit,<date August <pad>08<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,2091/11/8,2091 11<pad>08<pad><pad><pad><pad><pad>,explicit,<date 2091/11/8 2091 11<pad>08<pad><pad><pad><pad><pad>>
DATE,DATE,in December 2049,2049 12<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in December 2049 2049 12<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,the twenty-fifth week of 1971,1971<pad>25<pad><pad><pad><pad><pad><pad>,explicit,<date the twenty-fifth week of 1971 1971<pad>25<pad><pad><pad><pad><pad><pad>>
DATE,DATE,the thirty-first week of 2093,2093<pad>31<pad><pad><pad><pad><pad><pad>,explicit,<date the thirty-first week of 2093 2093<pad>31<pad><pad><pad><pad><pad><pad>>
DATE,DATE,in January 1932,1932 01<pad><pad><pad><pad><pad><pad><pad>,explicit,<date in January 1932 1932 01<pad><pad><pad><pad><pad><pad><pad>>
DATE,DATE,1904/10/21,1904 10<pad>21<pad><pad><pad><pad><pad>,explicit,<date 1904/10/21 1904 10<pad>21<pad><pad><pad><pad><pad>>
